PID CMD
10819 /usr/libexec/bluetooth/obexd
10987 [psimon]
11042 /snap/firefox/4793/usr/lib/firefox/firefox
11185 /snap/firefox/4793/usr/lib/firefox/firefox
11203 /snap/firefox/4793/usr/lib/firefox/firefox
11410 /snap/firefox/4793/usr/lib/firefox/firefox
11504 /snap/firefox/4793/usr/lib/firefox/firefox
11529 /snap/firefox/4793/usr/lib/firefox/firefox
11641 bash
11737 [kworker/1:0-mm_percpu_wq]
12241 /usr/lib/systemd/systemd-journald
13356 [kworker/1:1H]
13570 [kworker/u5:2-events_power_efficient]
13732 [kworker/0:1H-kblockd]
13834 [kworker/u6:3-events_power_efficient]
14110 [kworker/u5:0-events_power_efficient]
14196 [kworker/1:0H-kblockd]
14212 [kworker/0:0-events]
14273 [kworker/u6:2-events_unbound]
14297 [kworker/u5:3-events_power_efficient]
14313 [kworker/1:2-cgroup_destroy]
14367 [kworker/u6:0-events_unbound]
14388 [kworker/0:2H]
14417 [kworker/0:2-events]
14458 [kworker/1:1-events]
14528 gjs
14574 [kworker/0:1-events]
14578 [kworker/0:0H]
14612 [kworker/u6:1]
14613 [kworker/1:2H-kblockd]
14615 ps
14616 awk
